date,pib,pibdefl03
1996-01-01,64133.3,142619.7333
1996-02-01,62202.2,138026.0368
1996-03-01,62987.8,138802.4688
1996-04-01,64019.1,138740.0624
1996-05-01,69488.7,148774.8619
1996-06-01,71103,150585.6864
1996-07-01,74969.9,158769.2278
1996-08-01,74798.8,158204.1718
1996-09-01,71744.6,151411.5463
1996-10-01,77200.1,162466.1496
1996-11-01,80449.1,167830.4087
1996-12-01,81667.1,167725.1482
1997-01-01,77582.6,158668.5296
1997-02-01,71072.8,143681.7011
1997-03-01,70461.6,141613.6689
1997-04-01,73576.4,147428.7856
1997-05-01,78110.8,155430.5737
1997-06-01,81202.4,161441.8394
1997-07-01,82058.7,163215.8858
1997-08-01,82132.5,162405.0385
1997-09-01,81987.3,161565.3566
1997-10-01,87297.2,170612.4075
1997-11-01,85390.1,165739.3145
1997-12-01,81216.8,156264.9539
1998-01-01,79363.9,152669.57
1998-02-01,75828.1,145528.1327
1998-03-01,80508.7,154719.252
1998-04-01,81166.1,155628.1761
1998-05-01,85207.5,162924.6768
1998-06-01,85562.4,164221.2694
1998-07-01,86938.5,167152.4488
1998-08-01,86371.3,166099.4269
1998-09-01,84733.5,163003.3463
1998-10-01,87302.8,168252.3643
1998-11-01,86316.5,164731.3095
1998-12-01,83051.8,156702.0566
1999-01-01,80936.3,146223.2223
1999-02-01,80929.1,143378.1982
1999-03-01,88802.6,157280.6908
1999-04-01,87739,155934.5678
1999-05-01,89223,156972.503
1999-06-01,91746.9,158884.0327
1999-07-01,91230.4,155725.48
1999-08-01,92283.4,155244.3834
1999-09-01,90611.8,149607.2793
1999-10-01,95872.4,154379.5299
1999-11-01,99563.1,158370.2983
1999-12-01,98772.5,155521.8271
2000-01-01,92576.6,145484.0233
2000-02-01,91770.4,143953.0061
2000-03-01,92579.9,145037.387
2000-04-01,91376.2,142195.5228
2000-05-01,98727,152224.0796
2000-06-01,102685.4,154829.5677
2000-07-01,103410.4,153134.5474
2000-08-01,105177.8,154689.5244
2000-09-01,100307.6,146977.4184
2000-10-01,106951.1,156107.0714
2000-11-01,107678,155981.8279
2000-12-01,105851.6,152588.785
2001-01-01,102530.7,147302.8234
2001-02-01,101635.3,144852.8952
2001-03-01,108303.8,152635.9251
2001-04-01,107572,150940.6238
2001-05-01,111202.2,153794.8533
2001-06-01,104949.4,142838.9548
2001-07-01,110758.9,149396.2449
2001-08-01,113064.7,151925.8751
2001-09-01,108700.8,143979.9448
2001-10-01,116139,152665.6598
2001-11-01,117882,154681.1429
2001-12-01,113016.7,148021.9285
2002-01-01,112374.8,146912.7695
2002-02-01,111477.1,145574.5758
2002-03-01,118444.7,153600.4282
2002-04-01,120385.9,154409.603
2002-05-01,123552.5,155767.7755
2002-06-01,123424.4,152480.3426
2002-07-01,126856.6,153101.027
2002-08-01,127800.1,150267.1151
2002-09-01,125137.8,141187.9105
2002-10-01,133125.4,141915.5755
2002-11-01,135966.6,141136.1959
2002-12-01,130241.2,132315.9953
2003-01-01,127177.5,127177.5
2003-02-01,131373.6,129232.179
2003-03-01,138690.5,135870.8974
2003-04-01,141388.1,139444.696
2003-05-01,139605.8,138653.9187
2003-06-01,137993.4,137326.2788
2003-07-01,145970.6,144367.0582
2003-08-01,144819.4,141743.7388
2003-09-01,148559.8,144771.3157
2003-10-01,154925.9,150255.4176
2003-11-01,153644.4,148120.9149
2003-12-01,153801.4,147095.8552
2004-01-01,144558.6,136774.1961
2004-02-01,142861.3,133919.1833
2004-03-01,157363.5,145840.8943
2004-04-01,156953.9,143365.5422
2004-05-01,159498.9,143838.5464
2004-06-01,165342.2,147434.4528
2004-07-01,171370.9,150832.8456
2004-08-01,169178.9,148186.8525
2004-09-01,164702.5,143503.6133
2004-10-01,170536.5,147372.9745
2004-11-01,176921.5,152102.4828
2004-12-01,178462.4,152920.9673
2005-01-01,163540.1,139569.9547
2005-02-01,160701.6,135807.3277
2005-03-01,175468.7,147541.3628
2005-04-01,177179,149358.9187
2005-05-01,177496.7,150302.2176
2005-06-01,180881.8,153789.2657
2005-07-01,184073.7,157742.6507
2005-08-01,187246.6,160673.8615
2005-09-01,181538.9,154795.2571
2005-10-01,189183,160781.4314
2005-11-01,194794.5,165442.4042
2005-12-01,198480,167365.0129
2006-01-01,185564.8,156564.6932
2006-02-01,178482.2,151269.8435
2006-03-01,190223.3,161183.8825
2006-04-01,185030.6,156197.9327
2006-05-01,197874.3,165935.5064
2006-06-01,199071.9,166656.2946
2006-07-01,206974.4,172565.5685
2006-08-01,209818,174519.047
2006-09-01,201055.4,165892.9483
2006-10-01,214271.7,175795.8648
2006-11-01,219724.2,179795.7523
2006-12-01,221359.3,180363.6989
2007-01-01,211130.7,171630.2773
2007-02-01,202704.1,164421.0678
2007-03-01,217588.9,176255.0507
2007-04-01,215128.8,173989.9164
2007-05-01,226537.9,182740.1911
2007-06-01,228988.6,184030.263
2007-07-01,233824.1,185336.4107
2007-08-01,235019.1,184134.2174
2007-09-01,223002.7,173425.9708
2007-10-01,241939.4,186198.5767
2007-11-01,241938.4,183491.4217
2007-12-01,242460.2,182091.2464
2008-01-01,237247.7,177503.3623
2008-02-01,232680.4,172872.8365
2008-03-01,242124.4,177904.2671
2008-04-01,248793.8,179439.8581
2008-05-01,254936.9,180457.156
2008-06-01,265791.2,186053.7076
2008-07-01,278095.6,195414.5449
2008-08-01,269235.6,188501.8846
2008-09-01,265271.2,183721.1654
2008-10-01,280522.5,194152.2879
2008-11-01,270698.8,188186.1811
2008-12-01,264404.8,183783.8492
2009-01-01,249934.4,173943.8482
2009-02-01,244024.5,171266.3078
2009-03-01,262181.7,183928.4518
2009-04-01,259563.5,181773.115
2009-05-01,268324,188502.8998
2009-06-01,275701.2,194939.5837
2009-07-01,285444.2,201643.3437
2009-08-01,284240.4,200299.4562
2009-09-01,283157.9,199618.2384
2009-10-01,301895.9,212677.5199
2009-11-01,305048.8,215141.3806
2009-12-01,313522.8,218910.0837
2010-01-01,288972.8,199585.8997
2010-02-01,285723.2,196101.2304
2010-03-01,311651.6,212370.6184
2010-04-01,307083.5,206025.0332
2010-05-01,315988.4,211278.0157
2010-06-01,321023.2,214179.0956
2010-07-01,332454.2,219391.6008
2010-08-01,334225.6,218170.2671
2010-09-01,331255.9,214029.5708
2010-10-01,344963.8,219419.198
2010-11-01,356707.5,226032.9213
2010-12-01,355797.4,223272.4753
2011-01-01,333255.6,207145.4772
2011-02-01,334982,206955.9092
2011-03-01,347879.6,213864.2966
2011-04-01,349049.3,214568.8344
2011-05-01,366256.2,225442.2487
2011-06-01,370951.2,228448.2726
2011-07-01,373143.3,228398.1157
2011-08-01,376769.3,228895.3188
2011-09-01,361724.6,218884.5567
2011-10-01,378491,228056.7132
2011-11-01,389560.8,235102.3266
2011-12-01,391595.1,235625.0657
2012-01-01,367215.4,220800.0975
2012-02-01,367177.3,219554.6944
2012-03-01,392996.5,232630.4682
2012-04-01,381795.3,223954.312
2012-05-01,400281.3,233195.2636
2012-06-01,398714.5,228814.522
2012-07-01,414617.4,234904.9106
2012-08-01,419906.3,235825.805
2012-09-01,393524.7,221707.4348
2012-10-01,422672.1,237533.4204
2012-11-01,423816.4,236617.6234
2012-12-01,423195.9,235547.1679
2013-01-01,414131.8,230045.5679
2013-02-01,398645.4,220769.6065
2013-03-01,427409.8,236833.7489
2013-04-01,438856.8,242398.4728
2013-05-01,439054.2,240670.4773
2013-06-01,442857,242416.871
2013-07-01,458458.9,249801.4605
2013-08-01,452862.2,243446.4643
2013-09-01,438766.7,234399.9849
2013-10-01,466166,248349.8742
2013-11-01,465693.8,246400.5805
2013-12-01,473552.5,249552.5587
2014-01-01,455935,238255.0219
2014-02-01,450358.8,231899.0791
2014-03-01,462159.8,236907.2221
2014-04-01,468767.5,241392.2559
2014-05-01,473347.1,245305.115
2014-06-01,458516.5,238934.3674
2014-07-01,481994,251010.2902
2014-08-01,477052.9,248391.5138
2014-09-01,476520.6,246649.9481
2014-10-01,493304.7,252460.1629
2014-11-01,489484.4,249546.465
2014-12-01,499867.7,253147.0182
2015-01-01,472913.9,238222.5253
2015-02-01,460156.7,229018.7722
2015-03-01,501752.2,247454.69
2015-04-01,486614.6,239025.8564
2015-05-01,483239.7,235759.0988
2015-06-01,486647.5,236046.6312
2015-07-01,502275.2,242652.9007
2015-08-01,492505.7,234593.8725
2015-09-01,496004.7,232178.2145
2015-10-01,518828.9,239994.6985
2015-11-01,513819.8,236630.9081
2015-12-01,521918.7,236733.6329
2016-01-01,490284,220642.9553
2016-02-01,491011.7,220021.1009
2016-03-01,516985.9,230818.9723
2016-04-01,508058.7,224294.6476
2016-05-01,513267.5,222951.1357
2016-06-01,536459.3,233933.5398
2016-07-01,532947.8,231397.8374
2016-08-01,534761.8,232111.2049
2016-09-01,509975,221061.3107
2016-10-01,525162.7,227522.648
2016-11-01,541530.7,232680.2195
2016-12-01,565780.5,242053.2783
2017-01-01,526564.7,225134.3303
2017-02-01,514120.5,220647.0884
2017-03-01,544312.9,236544.39
2017-04-01,525238.1,229430.5604
2017-05-01,548887.7,242087.1846
2017-06-01,556787.6,246298.6455
2017-07-01,557458.2,246008.1526
2017-08-01,555578.7,243670.8823
2017-09-01,528871.2,231731.1892
2017-10-01,549304.7,238769.4599
2017-11-01,566209.3,244306.4092
2017-12-01,588892.8,252637.464
2018-01-01,555644.6,238007.9154
2018-02-01,528905.5,225287.0518
2018-03-01,560120.7,236395.3839
2018-04-01,559359.8,232262.9161
2018-05-01,547016.5,223829.5901
2018-06-01,580697.8,236560.6914
2018-07-01,583054.8,235924.2036
2018-08-01,582756.7,231660.2039
2018-09-01,556776.6,220751.5743
2018-10-01,591983.9,237421.8766
2018-11-01,593926.9,239278.6769
2018-12-01,603155.2,242830.4565
2019-01-01,578452.6,230005.8378
2019-02-01,567984.5,223445.7415
2019-03-01,579172.6,225807.358
2019-04-01,592916,230244.8936
2019-05-01,604607.4,233313.0154
2019-06-01,598283,230890.8731
2019-07-01,627049.7,243224.9434
2019-08-01,616157.6,237803.4546
2019-09-01,614187.9,235747.6875
2019-10-01,641340.1,244094.6689
2019-11-01,634826.2,237479.7203
2019-12-01,646343.1,241563.2327
2020-01-01,617747.2,230848.2122
2020-02-01,609810.8,224195.2879
2020-03-01,616335.3,226481.3955
2020-04-01,555387.4,201923.2538
2020-05-01,561628.4,200973.4767
2020-06-01,591537.3,206839.0071
2020-07-01,629700.9,211972.1122
2020-08-01,625136.3,203712.9193
2020-09-01,635263.9,199668.4385
2020-10-01,661149,202468.2254
2020-11-01,665182.8,202168.6481
2020-12-01,685042.6,202319.7619
2021-01-01,653790.4,188003.7229
2021-02-01,676255,190332.0248
2021-03-01,735993.6,202649.1317
2021-04-01,713652.1,190040.8387
2021-05-01,712134.2,189425.5143
2021-06-01,714893.3,187449.3909
2021-07-01,743091.8,195110.4907
2021-08-01,740615.1,195526.6729
2021-09-01,745774.4,193794.9507
2021-10-01,755323,197422.6368
2021-11-01,771558.9,199171.2419
2021-12-01,782833.5,198094.4564
2022-01-01,722909.9,180223.8138
2022-02-01,754147.4,183660.58
2022-03-01,838868,203451.9873
2022-04-01,819727.6,197447.1043
2022-05-01,826052.1,197734.9578
2022-06-01,826025.7,198473.4436
2022-07-01,852909.9,206073.175
2022-08-01,854004.1,208878.1253
2022-09-01,836785.8,205935.5569
2022-10-01,877947.5,216444.5391
2022-11-01,879514.9,216168.8335
2022-12-01,883886.2,217122.4301
2023-01-01,812834.6,199597.4007
2023-02-01,831224.5,204813.7425
2023-03-01,938679.8,233657.722
2023-04-01,904664.8,230562.3136
2023-05-01,903238.1,233595.5157
2023-06-01,893074.9,231899.6379
2023-07-01,911553.5,236591.1738
2023-08-01,923374.4,238595.6401
2023-09-01,906033.5,232924.9524
2023-10-01,943967.2,241460.6363
2023-11-01,950501,241579.0758
2023-12-01,936872.1,238756.57
2024-01-01,875592.8,224049.4377
2024-02-01,886081.6,227423.4262
2024-03-01,952242.4,242654.0171
2024-04-01,977372,246908.0018
2024-05-01,954779.1,240007.8464
2024-06-01,952995.6,237579.8759
,,
